id,name,description,flag,playerPicture,fideRank,highestRating,whiteWin,whiteDraw,whiteLose,blackWin,blackDraw,blackLose,currentRating
MagnusCarlsen,Magnus Carlsen,"Sven Magnus Øen Carlsen (born 30 November 1990) is a Norwegian chess grandmaster who is the reigning five-time World Chess Champion. He is also a three-time World Rapid Chess Champion and five-time World Blitz Chess Champion. He has held the No. 1 position in the FIDE world chess rankings since 1 July 2011, and trails only Garry Kasparov in time spent as the highest rated player in the world. His peak rating of 2882 is the highest in history. He also holds the record for the longest unbeaten streak at the elite level in classical chess",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/800px-Flag_of_Norway.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Carlsen_Magnus_%2830238051906%29.jpg/220px-Carlsen_Magnus_%2830238051906%29.jpg,1,2882,430,325,84,278,456,97,2864
LirenDing, Liren Ding,"Ding Liren (born 24 October 1992) is a Chinese chess grandmaster. He is the highest rated Chinese chess player in history and is also a three-time Chinese Chess Champion. He was the winner of the 2019 Grand Chess Tour, beating Maxime Vachier-Lagrave in the finals and winning the 2019 Sinquefield Cup, as the first player since 2007 to beat Magnus Carlsen in a playoff. Ding is the first Chinese player ever to play in a Candidates Tournament and pass the 2800 Elo mark on the FIDE world rankings. In July 2016, with a Blitz rating of 2875, he was the highest rated Blitz player in the world.", https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ding_Liren_2018_%28cropped%29.jpg/220px-Ding_Liren_2018_%28cropped%29.jpg,2,2816,305,324,90,212,388,107,2806
IanNepomniachtchi, Ian Nepomniachtchi,"Ian Alexandrovich Nepomniachtchi (born 14 July 1990) is a Russian chess grandmaster. Nepomniachtchi won the 2010 and 2020 Russian Superfinal and the 2010 European Individual titles. He also won the 2016 Tal Memorial and both the 2008 and 2015 Aeroflot Open events. He won the World Team Chess Championship as a member of the Russian team in Antalya (2013) and Astana (2019). Nepomniachtchi won the 2015 European Team Chess Championship in Reykjavík with the Russian team.", https://upload.wikimedia.org/wikipedia/hr/0/01/Zastava_Ruske_Federacije.svg, https://en.chessbase.com/thumb/95079, 3, 2792, 469,407,128,313,487,200,2792
AlirezaFirouzja, Alireza Firouzja,"Alireza Firouzja (born 18 June 2003) is an Iranian-French chess grandmaster. He is the youngest-ever 2800-rated player, beating the previous record set by Magnus Carlsen by more than five months. His peak ranking was No. 2, which he held from December 1, 2021, to May 1, 2022.A chess prodigy, Firouzja won the Iranian Chess Championship at age 12 and earned the Grandmaster title at 14. At 16, Firouzja became the second-youngest 2700-rated player and won a silver medal at the 2019 World Rapid Chess Championship. In November 2021, at 18, he won the FIDE Grand Swiss tournament and an individual gold medal at the European Team Chess Championship. He won a bronze medal at the 2021 World Blitz Chess Championship.", https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg, https://gamelevate.com/wp-content/uploads/2021/11/Round-11-Win-Firouzja.jpg,4,2800,514,198,142,435,201,202,2776
FabianoCaruana, Fabiano Caruana,"Fabiano Luigi Caruana (born July 30, 1992) is an Italian-American chess player. A chess prodigy, Caruana became a grandmaster at the age of 14 years, 11 months, and 20 days—the youngest grandmaster in the history of both Italy and the United States at the time. Born in Miami to Italian parents, Caruana grew up in Park Slope, Brooklyn. He played for the United States until 2005, when he transferred his national federation affiliation to Italy. He earned his grandmaster title in 2007, and in the same year won his first Italian Chess Championship, a feat he repeated in 2008, 2010, and 2011. He won the Dortmund Sparkassen Chess Meeting in 2012, 2014, and 2015. Caruana also won the Sinquefield Cup 2014, recording a 3098 performance rating, the highest in history at the top level.",https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,https://static.dw.com/image/43160634_303.jpg,5,2844,498,442,184,362,506,241,2776
LevonAronian, Levon Aronian,"Levon Grigori Aronian (born 6 October 1982) is an Armenian chess grandmaster, who currently plays for the United States Chess Federation. A chess prodigy, he earned the title of grandmaster in 2000, at age 17. Aronian held the No. 2 position in the March 2014 FIDE world chess rankings with a rating of 2830, becoming the fourth-highest rated player in history.Aronian won the FIDE World Cup in 2005 and 2017. He led the Armenian national team to the gold medals in the Chess Olympiads of 2006 (Turin), 2008 (Dresden) and 2012 (Istanbul) and at the World Team Chess Championship in Ningbo 2011. He won the FIDE Grand Prix 2008–2010, qualifying him for the Candidates Tournament for the World Chess Championship 2012. He was also world champion in Chess960",https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Levon_aronian_%28cropped%29.jpg/220px-Levon_aronian_%28cropped%29.jpg,6,2830,385,482,119,234,545,202,2775
WesleySo,Wesley So,"Wesley Barbossa So (born October 9, 1993) is a Filipino-American chess grandmaster, the inaugural and current World Fischer Random Chess Champion, and 3-time and the current U.S. Chess Champion (in 2017, 2020, and 2021). He is also a three-time Philippine Chess Champion. On the March 2017 FIDE rating list, he was ranked number two in the world and had an Elo rating of 2822, making him the fifth-highest rated player in history.A former chess prodigy, So became the youngest player to pass a 2600 Elo rating in October 2008, breaking the record previously held by Magnus Carlsen. This record has since been broken by John M. Burke. In early 2013, So passed 2700 and in January 2017 he became the 11th player to pass 2800 Elo.",https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Wesley_So_1%2C_Candidates_Tournament_2018.jpg,7,2822,400,436,92,263,526,132,2773
